date_id,event_date,year,month,day
284,1984-02-07,1984,2,7
285,1984-02-16,1984,2,16
286,1984-03-02,1984,3,2
287,1984-03-08,1984,3,8
288,1985-01-22,1985,1,22
289,1985-06-25,1985,6,25
290,1986-01-01,1986,1,1
291,1986-05-18,1986,5,18
292,1986-10-11,1986,10,11
293,1987-01-01,1987,1,1
294,1987-12-20,1987,12,20
295,1988-02-23,1988,2,23
296,1988-04-19,1988,4,19
297,1988-10-12,1988,10,12
298,1989-01-13,1989,1,13
299,1989-03-01,1989,3,1
300,1989-06-29,1989,6,29
301,1990-01-01,1990,1,1
302,1990-01-04,1990,1,4
303,1991-01-01,1991,1,1
304,1991-12-29,1991,12,29
305,1992-04-26,1992,4,26
306,1993-01-03,1993,1,3
307,1994-10-22,1994,10,22
308,1995-01-01,1995,1,1
309,1995-03-14,1995,3,14
310,1995-07-01,1995,7,1
311,1996-05-05,1996,5,5
312,1996-11-04,1996,11,4
313,1997-09-16,1997,9,16
314,1998-05-16,1998,5,16
315,1998-09-25,1998,9,25
316,1999-10-28,1999,10,28
317,2002-12-20,2002,12,20
318,2003-05-11,2003,5,11
319,2003-10-04,2003,10,4
320,2004-12-18,2004,12,18
321,2005-03-04,2005,3,4
322,2006-04-29,2006,4,29
323,2008-02-21,2008,2,21
324,2008-10-18,2008,10,18
325,2009-07-10,2009,7,10
326,2011-06-14,2011,6,14
327,2012-09-09,2012,9,9
328,2013-12-01,2013,12,1
329,2015-06-25,2015,6,25
330,2016-05-01,2016,5,1
331,2020-12-28,2020,12,28
332,2023-10-21,2023,10,21
333,2039-03-03,2039,3,3
